Date,Set,Color 1,Splash 1,Color 2,Splash 2,Win,Draw,Loss,Format,Location,Link
5/16/2020,MB1,WU,R,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/05-16-20-mb1-winston-draft/
5/19/2020,IKO,WBG,,,,1,0,1,Sealed,Home,https://tappedout.net/mtg-decks/05-19-20-iko-home-pre-release/
5/23/2020,IKO,UBG,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/05-23-20-iko-winston-draft/
5/25/2020,IKO,BRG,,,,2,0,5,Sealed,Home,https://tappedout.net/mtg-decks/05-25-20-iko-home-pre-release/
5/28/2020,MB1,UB,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/05-28-20-mb1-home-draft/
6/17/2020,MB1,UG,,,,0,0,3,Draft,Home,https://tappedout.net/mtg-decks/06-17-20-mb1-home-draft/
7/3/2020,M21,UG,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/07-02-20-m21-home-draft/
7/18/2020,CHAOS,UG,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/07-18-20-chaos-winston/
9/10/2020,BBD,WBRG,,,,,,,Draft,Home,https://tappedout.net/mtg-decks/09-10-20-bbd-home-draft/
9/19/2020,ZNR,BG,,,,1,1,1,Sealed,Home,https://tappedout.net/mtg-decks/09-19-20-znr-home-pre-release/
10/15/2020,ZNR,BG,,,,1,0,2,Sealed,Home,https://tappedout.net/mtg-decks/10-15-20-znr-home-sealed/
10/29/2020,ZNR,WRG,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/10-29-20-znr-winston-draft/
12/4/2020,MH1,BR,W,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/12-04-20-mh1-winston-draft/
12/18/2020,ZNR,BRG,,,,,,,Sealed,Home,https://tappedout.net/mtg-decks/12-18-20-znr-sealed/
1/1/2021,ZNR,UR,,,,1,0,2,Winston,Home,https://tappedout.net/mtg-decks/1-01-21-znr-winston-draft/
1/29/2021,KHM,UG,R,,,2,0,1,Draft,Home,https://tappedout.net/mtg-decks/1-29-21-khm-home-draft/
2/11/2021,KHM,WR,B,,,1,0,2,Sealed,Home,https://tappedout.net/mtg-decks/2-11-21-khm-home-pre-release/
2/12/2021,KHM,RG,U,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/2-12-21-khm-home-draft/
2/18/2021,KHM,RG,B,,,2,0,0,Sealed,Home,https://tappedout.net/mtg-decks/2-18-21-khm-home-pre-release/
2/24/2021,MH1,BG,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/2-24-21-mh1-winston-draft/
3/12/2021,MH1,WR,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/3-12-21-mh1-home-draft/
3/17/2021,MH1,UB,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/3-17-21-mh1-winston-draft/
3/24/2021,ZNR,UB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/3-24-21-znr-winston-draft/
3/31/2021,MH1,WG,UBR,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/3-31-21-mh1-winston-draft/
4/9/2021,TSR,WG,UBR,,,2,0,1,Draft,Home,https://tappedout.net/mtg-decks/4-9-21-tsr-home-draft/
4/13/2021,MH1,UB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/4-13-21-mh1-winston-draft/
4/16/2021,STX,UR,,,,2,1,0,Sealed,Home,https://tappedout.net/mtg-decks/4-16-21-stx-home-sealed/
4/21/2021,STX,UG,,WR,,1,0,0,Sealed,Home,https://tappedout.net/mtg-decks/4-21-21-stx-home-thg/
4/23/2021,STX,UR,,,,1,1,1,Draft,Home,https://tappedout.net/mtg-decks/4-23-21-stx-home-draft/
5/11/2021,MH1,WB,,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/5-11-21-mh1-winston-draft/
5/11/2021,STX,UG,,BG,,1,0,0,Winston,Home,https://tappedout.net/mtg-decks/5-11-21-stx-2hg-winston/
5/20/2021,TSR,UB,,,,1,0,1,Draft,Home,https://tappedout.net/mtg-decks/5-20-21-tsr-home-draft/
6/8/2021,STX,BG,W,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/6-8-21-stx-winston/
6/15/2021,MH1,BR,,,,1,0,2,Winston,Home,https://tappedout.net/mtg-decks/6-15-21-mh1-winston/
7/1/2021,MH2,BG,WR,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/7-1-21-mh2-winston-draft/
7/6/2021,MH2,UR,W,,,0,0,2,Winston,Home,https://tappedout.net/mtg-decks/7-6-21-mh2-winston-draft/
7/17/2021,AFR,UB,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/7-17-21-afr-sealed/
7/18/2021,AFR,BR,,WG,,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/7-18-21-afr-sealed-2hg/
7/29/2021,MH2,UB,R,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/7-29-21-mh2-winston-draft/
7/30/2021,AFR,WG,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/7-30-21-afr-booster-draft/
8/17/2021,AFR,RG,B,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/8-17-21-afr-home-draft/
8/27/2021,MSY1,UB,,,,0,0,2,Winston,Home,https://tappedout.net/mtg-decks/8-27-21-msy1-winston-draft/
9/17/2021,MID,UB,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/9-17-21-mid-sealed/
9/19/2021,MID,WU,,BG,R,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/9-19-21-mid-sealed-2gh/
9/24/2021,MID,UR,,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/9-24-21-mid-booster-draft/
9/24/2021,MH2,UG,,WR,B,0,0,1,Winston,Home,https://tappedout.net/mtg-decks/9-24-21-mh2-winston-2gh/
10/11/2021,MH2,UR,W,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/10-11-21-mh2-winston/
11/14/2021,VOW,UR,,WG,,0,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/11-14-21-vow-sealed-2gh/
2/12/2022,NEO,WU,,,,1,0,3,Sealed,LGS,https://tappedout.net/mtg-decks/02-12-22-neo-pre-release/
2/13/2022,NEO,UR,,WB,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-13-22-neo-pre-release-2gh/
4/24/2022,STR,WUB,,BRG,,1,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/04-24-22-str-2hg-pre-release/
4/24/2022,STR,WRG,U,WUB,,3,0,0,Sealed,LGS,https://tappedout.net/mtg-decks/04-24-22-str-2hg-pre-release-2/
3/25/2022,NEO,WU,B,,,2,0,1,Draft,LGS,https://tappedout.net/mtg-decks/03-25-22-neo-booster-draft/
4/23/2022,STR,UBR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/04-23-22-str-pre-release/
6/4/2022,CLB,WU,,,,2,0,0,Sealed,Home,https://tappedout.net/mtg-decks/06-04-22-clb-home-sealed/
8/28/2022,2X2,WUR,,,,3,0,0,Draft,Home,https://tappedout.net/mtg-decks/08-28-22-2x2-home-draft/
9/3/2022,DMU,WBR,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-03-22-dmu-pre-release/
9/3/2022,DMU,UBG,,,,2,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/09-03-22-dmu-pre-release-2/
9/4/2022,DMU,WUG,,WBR,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/09-04-22-dmu-2hg-pre-release/
9/8/2022,DMU,WU,,,,2,0,1,Winston,Home,https://tappedout.net/mtg-decks/09-0-22-dmu-winston-draft-1/
9/28/2022,DMU,BG,R,,,2,0,0,Winston,Home,https://tappedout.net/mtg-decks/09-28-22-dmu-winston-draft/
1/13/2023,DMR,WR,,,,3,0,0,Draft,LGS,https://tappedout.net/mtg-decks/01-13-23-dmr-fnm-draft/
2/3/2023,ONE,RG,,,,3,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-03-22-one-pre-release/
2/5/2023,ONE,UB,,WG,,2,0,1,Sealed,LGS,https://tappedout.net/mtg-decks/02-05-22-one-pre-release-2hg/
2/5/2023,ONE,RG,,WB,,1,0,2,Sealed,LGS,https://tappedout.net/mtg-decks/02-05-22-one-pre-release-2hg-two/
